fy,month,acwi_exUS,IWV,VBTIX
2006,9,0.188881704538457,0.0990840009923915,0.0370817813776339
2007,9,0.305399805762383,0.163061830816885,0.0528864875348993
2008,9,-0.303175791964051,-0.204466766384494,0.0390281200683735
2009,9,0.058864142697501,-0.0783845500909601,0.106661141393856
2010,9,0.0756101987725442,0.107994724240792,0.0782883785441606
2011,9,-0.108117566917274,0.00634421228170101,0.0531046059252913
2012,9,0.144831162279011,0.295524496835173,0.0505993241070655
2013,9,0.164781491002571,0.215915218469755,-0.0179925127582155
2014,9,0.0476873600908032,0.174401227303848,0.0391590911618753
2015,9,-0.121623858318663,-0.00716075113425896,0.0277396649864992
2016,9,0.09256086976383,0.148509585476048,0.053313828648405
2017,9,0.196098004578286,0.185355476549068,-0.00111935230560045
2018,9,0.0176265735671308,0.17345260160925,-0.011898123257355
2019,9,-0.0122889052053947,0.0279035508794432,0.104494770168321
2020,9,0.0300176932674292,0.145861554618128,0.0706355648456469
2021,9,0.23915740959584,0.318015906543743,-0.00902489152937513
2000,10,,,
2001,10,,-0.251174654399958,0.144990961893034
2002,10,-0.11166675463134,-0.147911185627538,0.0397918062795886
2003,10,0.298700334199777,0.234765888354849,0.0374188468954999
2004,10,0.192394350088637,0.0976186117251427,0.0549186390532546
2005,10,0.20062921434532,0.103734719740242,0.0117028096508529
2006,10,0.284012654385096,0.163539242458667,0.0531255658420051
2007,10,0.324305490745061,0.14391018638743,0.054945109290176
2008,10,-0.485278295881118,-0.365237017695254,0.00348212201303033
2009,10,0.341024845287427,0.105070710936652,0.140202091927067
2010,10,0.126204737271985,0.18307412564795,0.0776978562680206
2011,10,-0.0466451511525304,0.0756389893268596,0.0509684198734219
2012,10,0.0397542854244852,0.145909753312141,0.0500856173158595
2013,10,0.202877785568393,0.288940389873686,-0.0114933685656393
2014,10,0.00057276091033498,0.157207184945863,0.0408832720650159
2015,10,-0.0467976677152829,0.0438385215458335,0.0183000356340568
2016,10,0.00224271251295405,0.040551622884627,0.0446493163959434
2017,10,0.236378965676319,0.23784835692597,0.00809795728243357
2018,10,-0.0824094525336135,0.0638714313136761,-0.0202337388760383
2019,10,0.112675858845525,0.133588600131953,0.115060632495814
2020,10,-0.026107192815166,0.100173333984656,0.0617830431125988
2021,10,0.296611485408166,0.434129952434031,-0.00319023250568817
2000,11,,,
